StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,age,sex,race ,year ,gpa _1,degree ,undergrad ,grad ,combined ,sleepDuration,sleepEnough,regSleep ,sleepCatchUp ,allNighter ,dayTired ,fallStayAsleep ,sleepDisorder,napFreq,napDuration ,leisureTime ,leisureFreq,socialMedia ,socMedDuration ,academic _1,mentalHealth _1,mentalHealth _2,mentalHealth _3,mentalHealth _4
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,What is your age?,What is your sex (assigned at birth)?,What is your race/ethnicity?,What school year are you in?,What is your GPA? - Please enter in 0.00 format.,What type of degree are you pursuing?,What is your major? (undergraduate),What is your major? (graduate),What is your combined degree in?,"During a regular semester, how many hours do you sleep each night on average?",Do you feel like the amount you sleep each night is enough for you?,Do you have a regular sleep schedule (do you wake up and go to bed around the same time everyday)?,"Do you try to ""catch-up"" on sleep by sleeping-in when you can?","During a regular semester, do you ever ""pull an all-nighter"" to study?","After a full nights rest, do you often still feel tired during the day?",Do you have trouble falling or staying asleep?,Have you been diagnosed with a sleeping disorder?,How often do you nap during a regular semester?,How long do you usually nap for?,"Do you have leisure time? In other words, do you spend time on activities not related to school or work (reading, drawing, watching TV, etc.)?","During a regular semester, how much leisure time do you have?",Do you use social media?,How much time do you spend on social media?,How do you feel you are doing academically? - Select One,"In general, how would you describe your mental health? - Motivation & Energy","In general, how would you describe your mental health? - Stress Levels","In general, how would you describe your mental health? - Concentration","In general, how would you describe your mental health? - Overall Mood"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID17""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID24""}","{""ImportId"":""QID9""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID5""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID7""}","{""ImportId"":""QID28""}","{""ImportId"":""QID31""}","{""ImportId"":""QID8""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID16_4""}"
2021-11-18 14:01:38,2021-11-18 14:04:05,IP Address,100,147,TRUE,2021-11-18 14:04:05,R_WedrFrciXIoIuiZ,anonymous,EN,20,Male,White or Caucasian,Third year,3.98,Undergraduate,Marketing,,,5-6 hours.,No,No,Yes,"No, never.",Yes,No,,Rarely,30-60 minutes.,No,,Yes,1-3 hours/day.,Good,Ok,Not Good,Ok,Not Good
2021-11-18 14:12:24,2021-11-18 14:14:10,IP Address,100,106,TRUE,2021-11-18 14:14:10,R_3lXHHPKHx0VH4ws,anonymous,EN,21,Female,White or Caucasian,Fourth year,2.1,Undergraduate,Biology,,,Less than 5 hours.,No,No,No,"Yes, I do it often.",Yes,Yes,Yes,Rarely,Less than 30 minutes.,No,,Yes,1-3 hours/day.,Ok,Not Good,Bad,Not Good,Bad
2021-11-18 14:27:56,2021-11-18 14:31:02,IP Address,100,186,TRUE,2021-11-18 14:31:02,R_27D7l6uPtrHFfmp,qr,EN,24,Female,White or Caucasian,Fifth or more year,3.50,Graduate,,Biostatistics,,7-8 hours.,No,No,Yes,"Yes, rarely.",Yes,Yes,No,Never,,No,,Yes,1-3 hours/day.,Ok,Ok,Good,Not Good,Good
2021-11-18 14:27:31,2021-11-18 14:31:08,IP Address,100,216,TRUE,2021-11-18 14:31:08,R_1kM2q29rTjJaH2q,qr,EN,20,Male,White or Caucasian,Second year,3.913,Undergraduate,"Psychology,Statistics",,,7-8 hours.,No,Yes,Yes,"No, never.",Yes,Yes,No,Never,,No,,Yes,1-3 hours/day.,Great,Not Good,Bad,Good,Ok
2021-11-18 14:27:42,2021-11-18 14:36:26,IP Address,100,523,TRUE,2021-11-18 14:36:26,R_1EaOrOJ1ewYBPob,qr,EN,21,Female,White or Caucasian,Third year,3.78,Combined Degree,,,Statistics and Biostatistics,7-8 hours.,Yes,Yes,Yes,"Yes, rarely.",No,Yes,No,Every day,30-60 minutes.,Yes,1-3 hours/day.,Yes,1-3 hours/day.,Great,Good,Great,Good,Great
2021-11-18 14:34:33,2021-11-18 14:41:19,IP Address,100,405,TRUE,2021-11-18 14:41:19,R_1hWinJzP6dbyruj,anonymous,EN,,Male,Multiracial or Biracial,Second year,4.0,Undergraduate,Writing,,,6-7 hours.,Yes,Yes,Yes,"Yes, rarely.",No,No,,Rarely,More than 90 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,Less than 1 hour/day.,Ok,Not Good,Bad,Not Good,Ok
2021-11-18 14:41:31,2021-11-18 14:43:03,IP Address,100,92,TRUE,2021-11-18 14:43:04,R_3R49mA3v8KGB66g,anonymous,EN,,Male,White or Caucasian,Fourth year,2.7,Undergraduate,Film and Video,,,9-10 hours.,No,No,No,"Yes, rarely.",Yes,Yes,Yes,Rarely,60-90 minutes.,Yes,1-3 hours/day.,No,,Good,Bad,Ok,Bad,Ok
2021-11-18 15:06:35,2021-11-18 15:12:15,IP Address,100,339,TRUE,2021-11-18 15:12:15,R_2s7oYkPYSlv6Pmc,anonymous,EN,20,Male,White or Caucasian,Third year,3.90,Undergraduate,Cybersecurity,,,6-7 hours.,No,No,Yes,"No, never.",Yes,Yes,No,Rarely,Less than 30 minutes.,Yes,1-3 hours/day.,No,,Great,Not Good,Good,Ok,Ok
2021-11-18 17:14:22,2021-11-18 17:18:19,IP Address,100,236,TRUE,2021-11-18 17:18:19,R_1PTyWaz4eqFdBv3,anonymous,EN,22,Female,White or Caucasian,Fifth or more year,3.40,Undergraduate,Biology,,,7-8 hours.,No,No,Yes,"Yes, rarely.",Yes,Yes,Yes,Every day,30-60 minutes.,Yes,I spend some time on personal activities a few times a week.,Yes,1-3 hours/day.,Good,Ok,Not Good,Ok,Good
